#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut,french_pos_tree,bambara_pos_tree
1,equative_sing,Je suis enseignant,n yé karamɔgɔ yé,n yé kàramɔgɔkɛ yé,FAIL,,PRON AUX NOUN AUX
2,equative_sing,il est professeur,a yé porofesɛri yé,a yé porofesɛri yé,PASS,,PRON AUX NOUN AUX
3,equative_sing,Musa est un chasseur,Musa yé donso yé,Musa yé dònso yé,FAIL,,PROPN AUX NOUN AUX
4,equative_sing,je suis étudiant,n yé kalandenba yé,n ka tíminandi,FAIL,,PRON AUX NOUN
5,equative_sing,tu es mon ami,i yé n terikɛ yé,i yé n téri yé,FAIL,,PRON AUX PRON NOUN AUX
6,equative_sing,elle est médecin,a yé dɔkɔtɔrɔ yé,a ka sènntan,FAIL,,PRON AUX NOUN
7,equative_plur,nous sommes des paysans,anw yé dugukɔlɔsibagaw yé,anw yé wúlakɔnɔmɔgɔ yé,FAIL,,PRON AUX NOUN AUX
8,equative_plur,Ils sont étudiants,ùw yé kalandenw yé,u yé kàlandenba yé,FAIL,,PRON AUX NOUN AUX
9,equative_plur,vous êtes des enseignants,aw yé karamɔgɔw yé,"ERREUR: Failed to write data to connection IPv4Address(('localhost', 7687)) (ResolvedIPv6Address(('::1', 7687, 0, 0)))",ERROR,,
10,equative_neg,il n'est pas professeur,a tɛ porofesɛri yé,a tɛ porofesɛri yé,PASS,,PRON AUX NOUN AUX
11,equative_neg,il n'est pas un professeur,a tɛ porofesɛri yé,a tɛ porofesɛri yé,PASS,,PRON AUX NOUN AUX
12,equative_neg,il n'est pas un étudiant,a tɛ kàlandenba yé,a tɛ kàlandenba yé,PASS,,PRON AUX NOUN AUX
13,equative_neg,je ne suis pas enseignant,n tɛ karamɔgɔ yé,n tɛ kàramɔgɔkɛ yé,FAIL,,PRON AUX NOUN AUX
14,equative_neg_nothing,Il n'est rien,a tɛ foyi yé,a tɛ foyi yé,PASS,,PRON AUX CCONJ AUX
15,equative_neg,ce n'est pas vrai,o tɛ tiɲɛ yé,bɛ́rɛ tɛ,FAIL,,NOUN AUX
16,equative_past,il était professeur,a tùn yé porofesɛri yé,a tùn yé porofesɛri yé,PASS,,PRON AUX AUX NOUN AUX
17,equative_past,j'étais étudiant,n tùn yé kalandenba yé,n tùn yé kàlandenba yé,FAIL,,PRON AUX AUX NOUN AUX
18,equative_past_neg,il n'était pas étudiant,a tùn tɛ kalandenba yé,a tùn ma tíminandi,FAIL,,PRON AUX AUX NOUN
19,locative,Je suis en route,n bɛ sìra la,n bɛ síraden la,FAIL,,PRON AUX NOUN ADP
20,locative,Musa est au village,Musa bɛ dugu kɔnɔ,Musa bɛ dùgu la,FAIL,,PROPN AUX NOUN ADP
21,locative_plur,Les enfants sont en route,dɔgɔw bɛ sìra la,dén bɛ síraden la,FAIL,,NOUN AUX NOUN ADP
22,locative_plur,Ils sont aux portes,u bɛ bóndaw la,u bɛ bóndaw la,PASS,,PRON AUX NOUN ADP
23,locative,je suis à la maison,n bɛ so la,n bɛ só la,FAIL,,PRON AUX NOUN ADP
24,locative_plur,nous sommes au marché,anw bɛ súgu la,anw bɛ súgu la,PASS,,PRON AUX NOUN ADP
25,locative,il est au champ,a bɛ foro la,a bɛ fòro la,FAIL,,PRON AUX NOUN ADP
26,locative,elle est à l'école,a bɛ lakɔli la,a bɛ kàlankɛyɔrɔ la,FAIL,,PRON AUX NOUN ADP
27,locative_neg,il n'est pas à la maison,a tɛ so la,a tɛ só la,FAIL,,PRON AUX NOUN ADP
28,locative_neg,je ne suis pas au marché,n tɛ súgu la,n tɛ súgu la,PASS,,PRON AUX NOUN ADP
29,qualitative,je suis belle,n ka ɲuman,n ka jàlan,FAIL,,PRON AUX NOUN
30,qualitative,le cheval est rapide,sòn ka téliman,lóbo ka téli,FAIL,,NOUN AUX VERB
31,qualitative,La maison est loin,so ka jàn,só ka póroo,FAIL,,NOUN AUX NOUN
32,qualitative_plur,Les maisons sont loin,sow ka jàn,sów ka póroo,FAIL,,NOUN AUX NOUN
33,qualitative,l'eau est chaude,jí ka bɛ̀lɛ,jí ka gòni,FAIL,,NOUN AUX NOUN
34,qualitative,la route est longue,sìra ka télé,síraden ka búlubulu,FAIL,,NOUN AUX NOUN
35,qualitative_neg,tu n'es pas bien,i mán ɲuman,i man kóɲuman,FAIL,,PRON NOUN NOUN
36,qualitative_neg,la maison n'est pas grande,so mán bàrika,só man bòn,FAIL,,NOUN NOUN NOUN
37,qualitative_past,la route était longue,sìra tùn ka télé,síraden tùn ka búlubulu,FAIL,,NOUN AUX AUX NOUN
38,qualitative_past_neg,il n'était pas bien,a tùn mán ɲuman,a tùn ma kóɲuman,FAIL,,PRON AUX AUX NOUN
39,statif,je suis sûre de ça,n lalen dòn à la,n [sûr]len dòn o o in la,FAIL,,PRON NOUN ADP PRON PRON NOUN ADP
40,statif_plur,Les maisons sont sûres,sow lalen dòn,sów [sûr]len dòn,FAIL,,NOUN NOUN ADP
41,past_intransitive,C'est cuit,o mɔnna,o bólolangora,FAIL,,PRON VERB
42,past_intransitive_plur,Les viandes sont cuites,sɔgɔw mɔnna,sògow bàsabasara,FAIL,,NOUN VERB
43,past_intransitive,il est parti,o fáɲira,a fáɲira,FAIL,,PRON VERB
44,past_intransitive,elle est tombée,a bɛnna,a wɔ̀lɔwɔlɔra,FAIL,,PRON VERB
45,past_intransitive_plur,ils sont arrivés,ùw sera,u séra,FAIL,,PRON VERB
46,past_transitive,Musa a mangé le riz,Musa yé màlo dún,Musa yé iri dún,FAIL,,PROPN AUX NOUN NOUN
47,past_transitive,J'ai acheté des pagnes,n yé fìníw sàn,n yé kɔ̀baw sàn,FAIL,,PRON AUX NOUN NOUN
48,past_transitive,tu as vu l'homme,i yé cɛ yé,i yé mɔ̀gɔ yé,FAIL,,PRON AUX NOUN AUX
49,past_transitive,elle a bu de l'eau,a yé jí mìn,a yé jí jí,FAIL,,PRON AUX NOUN NOUN
50,past_transitive_plur,nous avons mangé le riz,anw yé màlo dún,anw yé iri dún,FAIL,,PRON AUX NOUN NOUN
51,past_transitive_plur,ils ont construit la maison,ùw yé so lá,u yé só màsègin,FAIL,,PRON AUX NOUN NOUN
52,relative_topic,L'homme que tu as vu hier est parti,"i yé cɛ mìn yé kúnùn, o fáɲira","i yé mɔ̀gɔ mìn yé kúnùn, o fáɲira",FAIL,,PRON AUX NOUN NOUN AUX NOUN PRON VERB
53,noun_phrase_have_material,J'ai de l'argent,wárí bɛ n bóló,wári bɛ n fɛ,FAIL,,NOUN AUX PRON NOUN
54,noun_phrase_have_material,il a une voiture,[voiture] bɛ a bóló,wátiri bɛ a bóló,FAIL,,NOUN AUX PRON NOUN
55,noun_phrase_have_material_plur,Ils ont des voitures,móbiliw bɛ ùw bóló,wátiriw bɛ u fɛ,FAIL,,NOUN AUX PRON NOUN
56,noun_phrase_have_material,tu as un couteau,mùru bɛ i bóló,pága bɛ i fɛ,FAIL,,NOUN AUX PRON NOUN
57,noun_phrase_have_age,Quel âge as-tu ?,sán jóli bɛ i bóló  ?,i bɛ saan jùmɛn la ?,FAIL,,PRON AUX NOUN NOUN ADP
58,noun_phrase_have_material_neg,elle n'a pas d'argent,wárí tɛ a bóló,wári tɛ a fɛ,FAIL,,NOUN AUX PRON NOUN
59,noun_phrase_have_abstract,J'ai un frère,bálimakɛ bɛ n fɛ,bálimakɛ bɛ n fɛ,PASS,,NOUN AUX PRON NOUN
60,noun_phrase_have_abstract,J'ai une sœur,bálimamuso bɛ n fɛ,nà bɛ n fɛ,FAIL,,NOUN AUX PRON NOUN
61,noun_phrase_have_abstract_plur,J'ai des frères et sœurs,bálimaw bɛ n fɛ,bálimakɛw ni Bátàw bɛ n fɛ,FAIL,,NOUN ADP PROPN AUX PRON NOUN
62,volitif,J'aime manger,n bɛ dún fɛ,n bɛ kànuya ka dúnli kɛ,FAIL,,PRON AUX NOUN AUX VERB ADP
63,noun_phrase_have_abstract,il a de la chance,diyaɲɔgɔnya bɛ a fɛ,tère bɛ a fɛ,FAIL,,NOUN AUX PRON NOUN
64,noun_phrase_have_abstract_neg,elle n'a pas de frère,bálimakɛ tɛ a fɛ,bálimakɛ tɛ a fɛ,PASS,,NOUN AUX PRON NOUN
65,existential_absolute,Il y'a du pain,búuru bɛ,búuru bɛ,PASS,,NOUN AUX
66,existential_absolute,il y a un problème,[problème] bɛ,báasi bɛ,FAIL,,NOUN AUX
67,existential_absolute,il y a du travail,baaraw bɛ,báara bɛ,FAIL,,VERB AUX
68,existential_absolute_neg,il n'y a pas de pain,búuru tɛ,búuru tɛ,PASS,,NOUN AUX
69,existential_localized_neg,il n'y a personne dans le village,mɔgɔ tɛ dugu kɔnɔ,[personne] tɛ dùgu la,FAIL,,NOUN AUX NOUN ADP
70,existential_localized,Il y a de l'eau dans la bouteille,jí bɛ bútèli kɔnɔ,jí bɛ bútèli la,FAIL,,NOUN AUX VERB ADP
71,existential_localized,Il y a des gens ici,mɔgɔw bɛ yàn,bìdenw bɛ yàn,FAIL,,NOUN AUX NOUN
72,existential_localized_neg,Il n'y a personne ici,mɔgɔw tɛ yàn,[personne] tɛ yàn,FAIL,,NOUN AUX NOUN
73,existential_localized,il y a des enfants dans la maison,dɔgɔw bɛ so kɔnɔ,dénw bɛ só la,FAIL,,NOUN AUX NOUN ADP
74,existential_localized_neg,il n'y a pas d'eau dans la bouteille,jí tɛ bútèli kɔnɔ,jí tɛ bútèli la,FAIL,,NOUN AUX VERB ADP
75,identificatory,C'est moi,n dòn,n dòn,PASS,,PRON ADP
76,identificatory_appos,C'est moi Hawa,n de Hawa yé,Hawa dòn,FAIL,,PROPN ADP
77,identificatory_neg,Ce n'est pas moi,n tɛ,o tɛ n yé,FAIL,,PRON AUX PRON AUX
78,presentative,c'est Musa,Musa dòn,Musa dòn,PASS,,PROPN ADP
79,presentative_plur,Ce sont mes frères et sœurs,n bálimaw dòn,n bálimakɛ ni Bátà dòn,FAIL,,PRON NOUN ADP PROPN ADP
80,identificatory,c'est lui,a dòn,a dòn,PASS,,PRON ADP
