#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut,french_pos_tree,bambara_pos_tree,google_translate,nllb_translate,camembert_kuma,camembert_google,camembert_nllb
1,equative_sing,Je suis enseignant,n yé karamɔgɔ yé,,,,,Ne ye karamɔgɔ ye,Ne ye karamɔgɔ ye,,,
2,equative_sing,il est professeur,a yé porofesɛri yé,,,,,a ye karamɔgɔ ye,a ye karamɔgɔ ye,,,
3,equative_sing,Musa est un chasseur,Musa yé donso yé,,,,,Musa ye kungotigi ye,Musa ye jagokɛla ye,,,
4,equative_sing,je suis étudiant,n yé kalandenba yé,,,,,Ne ye kalanden ye,ne ye kalanden ye,,,
5,equative_sing,tu es mon ami,i yé n terikɛ yé,,,,,i ye ne teri ye,i ye ne teri ye,,,
6,equative_sing,elle est médecin,a yé dɔkɔtɔrɔ yé,,,,,a ye dɔgɔtɔrɔ ye,a ye dɔgɔtɔrɔ ye,,,
7,equative_plur,nous sommes des paysans,anw yé dugukɔlɔsibagaw yé,,,,,an ye sɛnɛkɛlaw ye,an ye sɛnɛkɛlaw ye,,,
8,equative_plur,Ils sont étudiants,ùw yé kalandenw yé,,,,,U ye kalandenw ye,U ye kalandenw ye,,,
9,equative_plur,vous êtes des enseignants,aw yé karamɔgɔw yé,,,,,aw ye karamɔgɔw ye,aw ye karamɔgɔ ye,,,
10,equative_neg,il n'est pas professeur,a tɛ porofesɛri yé,,,,,a tɛ karamɔgɔ ye,a tɛ karamɔgɔ ye,,,
11,equative_neg,il n'est pas un professeur,a tɛ porofesɛri yé,,,,,a tɛ karamɔgɔ ye,a tɛ karamɔgɔ ye,,,
12,equative_neg,il n'est pas un étudiant,a tɛ kàlandenba yé,,,,,a tɛ kalanden ye,a tɛ kalanden ye,,,
13,equative_neg,je ne suis pas enseignant,n tɛ karamɔgɔ yé,,,,,Ne tɛ karamɔgɔ ye,ne tɛ karamɔgɔ ye,,,
14,equative_neg_nothing,Il n'est rien,a tɛ foyi yé,,,,,Ale tɛ foyi ye,A tɛ foyi ye,,,
15,equative_neg,ce n'est pas vrai,o tɛ tiɲɛ yé,,,,,nin tɛ tiɲɛ ye,o tɛ tiɲɛ ye,,,
16,equative_past,il était professeur,a tùn yé porofesɛri yé,,,,,a tun ye karamɔgɔ ye,a tun ye karamɔgɔ ye,,,
17,equative_past,j'étais étudiant,n tùn yé kalandenba yé,,,,,Ne tun ye kalanden ye,ne tun ye kalanden ye,,,
18,equative_past_neg,il n'était pas étudiant,a tùn tɛ kalandenba yé,,,,,a tun tɛ kalanden ye,a tun tɛ kalanden ye,,,
19,locative,Je suis en route,n bɛ sìra la,,,,,N bɛ n ka sira kan,Ne bɛ taa,,,
20,locative,Musa est au village,Musa bɛ dugu kɔnɔ,,,,,Musa bɛ dugu kɔnɔ,Musa bɛ dugu la,,,
21,locative_plur,Les enfants sont en route,dɔgɔw bɛ sìra la,,,,,Denmisɛnw bɛ sira kan,Denmisɛnw bɛ sira kan,,,
22,locative_plur,Ils sont aux portes,u bɛ bóndaw la,,,,,U bɛ daaw da la,U bɛ da la,,,
23,locative,je suis à la maison,n bɛ so la,,,,,N bɛ so kɔnɔ,ne bɛ so,,,
24,locative_plur,nous sommes au marché,anw bɛ súgu la,,,,,an bɛ sugu la,an bɛ sugu la,,,
25,locative,il est au champ,a bɛ foro la,,,,,a bɛ foro la,a bɛ foro la,,,
26,locative,elle est à l'école,a bɛ lakɔli la,,,,,a bɛ lakɔli la,a bɛ lakɔli la,,,
27,locative_neg,il n'est pas à la maison,a tɛ so la,,,,,a tɛ so kɔnɔ,a tɛ so kɔnɔ,,,
28,locative_neg,je ne suis pas au marché,n tɛ súgu la,,,,,N tε sugu la,ne tɛ sugu la,,,
29,qualitative,je suis belle,n ka ɲuman,,,,,Ne cɛ ka ɲi,ne cɛ ka ɲi,,,
30,qualitative,le cheval est rapide,sòn ka téliman,,,,,sow bɛ teliya,so bɛ teliya,,,
31,qualitative,La maison est loin,so ka jàn,,,,,So yɔrɔ ka jan,So bɛ yɔrɔ jan,,,
32,qualitative_plur,Les maisons sont loin,sow ka jàn,,,,,Sow yɔrɔ ka jan,Sow bɛ yɔrɔ jan,,,
33,qualitative,l'eau est chaude,jí ka bɛ̀lɛ,,,,,ji ka suma,ji bɛ funteni na,,,
34,qualitative,la route est longue,sìra ka télé,,,,,sira ka jan,sira ka jan,,,
35,qualitative_neg,tu n'es pas bien,i mán ɲuman,,,,,aw tɛ kɛnɛya la,i ka kɛnɛ tɛ,,,
36,qualitative_neg,la maison n'est pas grande,so mán bàrika,,,,,so man bon,so tɛ bonba ye,,,
37,qualitative_past,la route était longue,sìra tùn ka télé,,,,,sira tun ka jan,sira tun ka jan,,,
38,qualitative_past_neg,il n'était pas bien,a tùn mán ɲuman,,,,,a tun man kɛnɛ,a tun man ɲi,,,
39,statif,je suis sûre de ça,n lalen dòn à la,,,,,N dalen b'o la,ne jɛyalen bɛ a la,,,
40,statif_plur,Les maisons sont sûres,sow lalen dòn,,,,,Sow lakananen don,Bonw bɛ se ka kɛ yɔrɔ ɲumanw ye,,,
41,past_intransitive,C'est cuit,o mɔnna,,,,,A tobilen don,A bɛ tobi,,,
42,past_intransitive_plur,Les viandes sont cuites,sɔgɔw mɔnna,,,,,Sogow bɛ tobi,Dumuni bɛ tobi,,,
43,past_intransitive,il est parti,o fáɲira,,,,,a bɔra yen,a taara,,,
44,past_intransitive,elle est tombée,a bɛnna,,,,,a binna,a binna,,,
45,past_intransitive_plur,ils sont arrivés,ùw sera,,,,,u sera yen,u sera,,,
46,past_transitive,Musa a mangé le riz,Musa yé màlo dún,,,,,Musa ye tiga dun,Musa ye shɛfan dun,,,
47,past_transitive,J'ai acheté des pagnes,n yé fìníw sàn,,,,,N ye wuluwuluw san,Ne ye fini dɔw san,,,
48,past_transitive,tu as vu l'homme,i yé cɛ yé,,,,,i ye cɛ in ye,i ye nin cɛ ye,,,
49,past_transitive,elle a bu de l'eau,a yé jí mìn,,,,,a ye ji min,a ye ji min,,,
50,past_transitive_plur,nous avons mangé le riz,anw yé màlo dún,,,,,an ye tiga dun,an ye arisi dun,,,
51,past_transitive_plur,ils ont construit la maison,ùw yé so lá,,,,,u ye so jɔ,u ye so jɔ,,,
52,relative_topic,L'homme que tu as vu hier est parti,"i yé cɛ mìn yé kúnùn, o fáɲira",,,,,"I ye cɛ min ye kunun, o tɛ yen tugun","I ye cɛ min ye kunu, o taara",,,
53,noun_phrase_have_material,J'ai de l'argent,wárí bɛ n bóló,,,,,Wari bɛ ne bolo,wari bɛ ne fɛ,,,
54,noun_phrase_have_material,il a une voiture,[voiture] bɛ a bóló,,,,,mobili b' a bolo,mobili bɛ a fɛ,,,
