#,categorie,phrase_fr,bambara_attendu,bambara_obtenu,statut,french_pos_tree,bambara_pos_tree,french_dep_tree,bambara_dep_tree,google_translate,nllb_translate,google_backtrans_fr,nllb_backtrans_fr,camembert_kuma,camembert_google,camembert_nllb,meteor_kuma,meteor_google,meteor_nllb,bertscore_prf_kuma,bertscore_prf_google,bertscore_prf_nllb
1,equative_sing,Je suis enseignant,N yé karamɔgɔ yé,ń yé kàramɔgɔkɛ yé,FAIL,PRON AUX NOUN,NOUN VERB NOUN ADP,Je/PRON/nsubj->3 suis/AUX/cop->3 enseignant/NOUN/ROOT->0,ń/NOUN/nsubj->2 yé/VERB/root->0 kàramɔgɔkɛ/NOUN/obl->2 yé/ADP/case->3,Ne ye karamɔgɔ ye,Ne ye karamɔgɔ ye,Je suis enseignant,Je suis professeur,1.000,0.756,0.650,0.250,0.125,0.125,1.000|1.000|1.000,0.672|0.698|0.685,0.633|0.646|0.640
2,equative_sing,il est professeur,a yé porofesɛri yé,a yé porofesɛri yé,PASS,PRON AUX NOUN,PRON VERB NOUN ADP,il/PRON/nsubj->3 est/AUX/cop->3 professeur/NOUN/ROOT->0,a/PRON/nsubj->2 yé/VERB/root->0 porofesɛri/NOUN/obl->2 yé/ADP/case->3,a ye karamɔgɔ ye,a ye karamɔgɔ ye,il est professeur,il est professeur,1.000,0.847,0.588,0.992,0.125,0.125,1.000|1.000|1.000,0.715|0.690|0.703,0.555|0.544|0.549
3,equative_sing,Musa est un chasseur,Musa yé donso yé,Musa yé dònso yé,FAIL,PROPN AUX DET NOUN,NOUN VERB NOUN ADP,Musa/PROPN/nsubj->4 est/AUX/cop->4 un/DET/det->4 chasseur/NOUN/ROOT->0,Musa/NOUN/nsubj->2 yé/VERB/root->0 dònso/NOUN/obl->2 yé/ADP/case->3,Musa ye kungotigi ye,Musa ye jagokɛla ye,Moïse est un chasseur,Moïse est un marchand,1.000,0.334,0.374,0.639,0.125,0.125,1.000|1.000|1.000,0.317|0.320|0.318,0.287|0.281|0.284
4,equative_sing,je suis étudiant,n yé kalandenba yé,ń yé kàlandenba yé,FAIL,PRON AUX ADJ,NOUN VERB NOUN ADP,je/PRON/nsubj->3 suis/AUX/cop->3 étudiant/ADJ/ROOT->0,ń/NOUN/nsubj->2 yé/VERB/root->0 kàlandenba/NOUN/obl->2 yé/ADP/case->3,Ne ye kalanden ye,ne ye kalanden ye,Je suis étudiant,Je suis un disciple,1.000,0.847,0.523,0.250,0.000,0.000,1.000|1.000|1.000,0.777|0.814|0.795,0.518|0.516|0.517
5,equative_sing,tu es mon ami,i yé n teri yé,í yé n téri yé,FAIL,PRON AUX DET NOUN,NOUN VERB NOUN ADP,tu/PRON/nsubj->4 es/AUX/cop->4 mon/DET/det->4 ami/NOUN/ROOT->0,í/NOUN/nsubj->2 yé/VERB/root->0 n téri/NOUN/obl->2 yé/ADP/case->3,i ye ne teri ye,i ye ne teri ye,tu es mon ami,tu es mon ami,1.000,0.591,0.482,0.511,0.200,0.200,1.000|1.000|1.000,0.683|0.704|0.693,0.634|0.650|0.642
6,equative_sing,elle est médecin,a yé dɔkɔtɔrɔ yé,a yé medesɛn yé,FAIL,PRON AUX ADJ,PRON VERB NOUN ADP,elle/PRON/nsubj->3 est/AUX/cop->3 médecin/ADJ/ROOT->0,a/PRON/nsubj->2 yé/VERB/root->0 medesɛn/NOUN/obl->2 yé/ADP/case->3,a ye dɔgɔtɔrɔ ye,a ye dɔgɔtɔrɔ ye,il est médecin,il est médecin,1.000,0.764,0.569,0.639,0.125,0.125,1.000|1.000|1.000,0.743|0.767|0.754,0.590|0.587|0.589
7,equative_plur,nous sommes des paysans,ánw yé wúlakɔnɔmɔgɔw yé,ánw yé wúlakɔnɔmɔgɔw yé,PASS,PRON AUX DET NOUN,NOUN VERB NOUN ADP,nous/PRON/nsubj->4 sommes/AUX/cop->4 des/DET/det->4 paysans/NOUN/ROOT->0,ánw/NOUN/nsubj->2 yé/VERB/root->0 wúlakɔnɔmɔgɔw/NOUN/obl->2 yé/ADP/case->3,an ye sɛnɛkɛlaw ye,an ye sɛnɛkɛlaw ye,nous sommes des agriculteurs,nous sommes des agriculteurs,1.000,0.518,0.492,0.992,0.000,0.000,1.000|1.000|1.000,0.559|0.552|0.556,0.563|0.560|0.562
8,equative_plur,Ils sont étudiants,ùw yé kàlandenbaw yé,u yé kàlandenbaw yé,FAIL,PRON AUX NOUN,PRON VERB NOUN ADP,Ils/PRON/nsubj->3 sont/AUX/cop->3 étudiants/NOUN/ROOT->0,u/PRON/nsubj->2 yé/VERB/root->0 kàlandenbaw/NOUN/obl->2 yé/ADP/case->3,U ye kalandenw ye,U ye kalandenw ye,Ce sont des étudiants,Ils furent donc ses disciples.,1.000,0.576,0.360,0.736,0.000,0.000,1.000|1.000|1.000,0.479|0.532|0.504,0.181|0.198|0.189
9,equative_plur,vous êtes des enseignants,aw yé karamɔgɔw yé,áw yé kàramɔgɔkɛw yé,FAIL,PRON AUX DET NOUN,NOUN VERB NOUN ADP,vous/PRON/nsubj->4 êtes/AUX/cop->4 des/DET/det->4 enseignants/NOUN/ROOT->0,áw/NOUN/nsubj->2 yé/VERB/root->0 kàramɔgɔkɛw/NOUN/obl->2 yé/ADP/case->3,aw ye karamɔgɔw ye,aw ye karamɔgɔ ye,vous êtes les professeurs,tu es un maître,1.000,0.507,0.586,0.250,0.250,0.125,1.000|1.000|1.000,0.246|0.254|0.250,0.763|0.753|0.758
10,equative_neg,il n'est pas professeur,a tɛ porofesɛri yé,a tɛ porofesɛri yé,PASS,PRON ADV AUX ADV NOUN,PRON VERB NOUN ADP,il/PRON/expl:subj->5 n'/ADV/advmod->5 est/AUX/cop->5 pas/ADV/advmod->5 professeur/NOUN/ROOT->0,a/PRON/nsubj->2 tɛ/VERB/root->0 porofesɛri/NOUN/obl->2 yé/ADP/case->3,a tɛ karamɔgɔ ye,a tɛ karamɔgɔ ye,il n'est pas professeur,il n'est pas un maître,1.000,0.645,0.637,0.992,0.469,0.469,1.000|1.000|1.000,0.769|0.781|0.775,0.661|0.682|0.671
