id,categorie,phrase_fr,reference,ref_pos_tree,kuma_mt,nllb,google,pos_kuma,pos_nllb,pos_google,chrf_kuma,chrf_nllb,chrf_google,ktau_kuma,ktau_nllb,ktau_google,wo_kuma,wo_nllb,wo_google,pos_exact_kuma,pos_exact_nllb,pos_exact_google,pos_chrf_kuma,pos_chrf_nllb,pos_chrf_google,kuma_back_fr,google_back_fr,nllb_back_fr,sem_kuma,sem_google,sem_nllb
1,equative_sing,Je suis enseignant,n yé karamɔgɔ yé,PRON AUX NOUN AUX,n yé kàramɔgɔkɛ yé,Ne ye karamɔgɔ ye,Ne ye karamɔgɔ ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,47.74,60.97,60.97,0.667,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,Je suis enseignant,Je suis professeur,0.0,100.0,28.94
2,equative_sing,il est professeur,a yé porofesɛri yé,PRON AUX NOUN AUX,a yé porofesɛri yé,a ye karamɔgɔ ye,a ye karamɔgɔ ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,100.0,6.93,6.93,0.5,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,il est professeur,il est professeur,0.0,100.0,100.0
3,equative_sing,Musa est un chasseur,Musa yé donso yé,PROPN AUX NOUN AUX,Musa yé dònso yé,Musa ye jagokɛla ye,Musa ye kungotigi ye,PROPN AUX NOUN AUX,PROPN AUX NOUN AUX,PROPN AUX NOUN AUX,62.97,23.06,23.9,0.667,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,Moïse est un chasseur,Moïse est un homme d'affaires,0.0,72.97,22.68
4,equative_sing,je suis étudiant,n yé kalandenba yé,PRON AUX NOUN AUX,n ka fárin,ne ye kalanden ye,Ne ye kalanden ye,PRON ADP VERB,PRON AUX NOUN AUX,PRON AUX NOUN AUX,6.23,48.2,47.07,0.0,0.0,0.0,False,False,False,0,1,1,20.96,100.0,100.0,,Je suis étudiant,Je suis un disciple,0.0,100.0,33.78
5,equative_sing,tu es mon ami,i yé n terikɛ yé,PRON AUX PRON NOUN AUX,i yé n téri yé,i ye ne teri ye,i ye ne teri ye,PRON AUX PRON NOUN AUX,PRON AUX PRON NOUN AUX,PRON AUX PRON NOUN AUX,33.65,22.77,22.77,0.5,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,tu es mon ami,tu es mon ami,0.0,100.0,100.0
6,equative_sing,elle est médecin,a yé dɔkɔtɔrɔ yé,PRON AUX NOUN AUX,a bólolangolen dòn,a ye dɔgɔtɔrɔ ye,a ye dɔgɔtɔrɔ ye,PRON X AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,2.45,39.39,39.39,0.0,0.0,0.0,False,False,False,0,1,1,23.82,100.0,100.0,,il est médecin,il est médecin,0.0,69.33,69.33
7,equative_plur,nous sommes des paysans,anw yé dugukɔlɔsibagaw yé,PRON AUX NOUN AUX,anw yé wúlakɔnɔmɔgɔ yé,an ye sɛnɛkɛlaw ye,an ye sɛnɛkɛlaw ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,21.15,10.73,10.73,0.667,0.0,0.0,True,False,False,1,1,1,100.0,100.0,100.0,,nous sommes des agriculteurs,nous sommes des agriculteurs,0.0,58.81,58.81
8,equative_plur,Ils sont étudiants,ùw yé kalandenw yé,NOUN AUX NOUN AUX,u yé kàlandenba yé,U ye kalandenw ye,U ye kalandenw ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,38.13,61.32,61.32,0.0,0.0,0.0,True,False,False,0,0,0,74.51,74.51,74.51,,Ce sont des étudiants,Et ils furent ses disciples.,0.0,57.83,17.57
9,equative_plur,vous êtes des enseignants,aw yé karamɔgɔw yé,PRON AUX NOUN AUX,aw yé kàramɔgɔkɛ yé,aw ye karamɔgɔ ye,aw ye karamɔgɔw ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,47.76,51.84,66.22,0.667,0.0,1.0,True,False,False,1,1,1,100.0,100.0,100.0,,vous êtes les professeurs,tu es un maître,0.0,33.78,7.54
10,equative_neg,il n'est pas professeur,a tɛ porofesɛri yé,PRON AUX NOUN AUX,a tɛ porofesɛri yé,a tɛ karamɔgɔ ye,a tɛ karamɔgɔ ye,PRON AUX NOUN AUX,PRON AUX NOUN AUX,PRON AUX NOUN AUX,100.0,10.62,10.62,1.0,1.0,1.0,True,True,True,1,1,1,100.0,100.0,100.0,,il n'est pas professeur,il n'est pas professeur,0.0,100.0,100.0
